fecha_ini,file_input,file_ext,names,radar_id,range,volumen,estrategia,variable,config,state,file_output
2021-04-09 18:30:19,/data/OBS/radar/PER/240/2021040918301900dBZ.vol,vol,2021040918301900dBZ.vol,PER,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183019.PER_0240_IN.nc
2021-04-09 18:40:19,/data/OBS/radar/PER/240/2021040918401900dBZ.vol,vol,2021040918401900dBZ.vol,PER,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184019.PER_0240_IN.nc
2021-04-09 18:50:19,/data/OBS/radar/PER/240/2021040918501900dBZ.vol,vol,2021040918501900dBZ.vol,PER,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185019.PER_0240_IN.nc
2021-04-09 18:45:52,/data/OBS/radar/PER/120/2021040918455200dBZ.vol,vol,2021040918455200dBZ.vol,PER,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184552.PER_0120_IN.nc
2021-04-09 18:55:53,/data/OBS/radar/PER/120/2021040918555300dBZ.vol,vol,2021040918555300dBZ.vol,PER,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185553.PER_0120_IN.nc
2021-04-09 18:35:53,/data/OBS/radar/PER/120/2021040918355300dBZ.vol,vol,2021040918355300dBZ.vol,PER,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183553.PER_0120_IN.nc
2021-04-09 18:50:50,/data/OBS/radar/RMA5/2021/04/09/18/5050/RMA5_0200_01_DBZH_20210409T185050Z.H5,H5,RMA5_0200_01_DBZH_20210409T185050Z.H5,RMA5,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185050.RMA5_0200_01.nc
2021-04-09 18:32:33,/data/OBS/radar/RMA5/2021/04/09/18/3233/RMA5_0200_01_DBZH_20210409T183233Z.H5,H5,RMA5_0200_01_DBZH_20210409T183233Z.H5,RMA5,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183233.RMA5_0200_01.nc
2021-04-09 18:42:03,/data/OBS/radar/RMA5/2021/04/09/18/4203/RMA5_0200_01_DBZH_20210409T184203Z.H5,H5,RMA5_0200_01_DBZH_20210409T184203Z.H5,RMA5,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184203.RMA5_0200_01.nc
2021-04-09 18:48:10,/data/OBS/radar/RMA1/2021/04/09/18/4810/RMA1_0301_01_DBZH_20210409T184810Z.H5,H5,RMA1_0301_01_DBZH_20210409T184810Z.H5,RMA1,240,01,0301,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184810.RMA1_0301_01.nc
2021-04-09 18:39:03,/data/OBS/radar/RMA1/2021/04/09/18/3903/RMA1_0301_01_DBZH_20210409T183903Z.H5,H5,RMA1_0301_01_DBZH_20210409T183903Z.H5,RMA1,240,01,0301,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183903.RMA1_0301_01.nc
2021-04-09 18:30:48,/data/OBS/radar/RMA1/2021/04/09/18/3048/RMA1_0301_01_DBZH_20210409T183048Z.H5,H5,RMA1_0301_01_DBZH_20210409T183048Z.H5,RMA1,240,01,0301,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183048.RMA1_0301_01.nc
2021-04-09 18:30:02,/data/OBS/radar/PAR/240/2021040918300200dBZ.vol,vol,2021040918300200dBZ.vol,PAR,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183002.PAR_0240_IN.nc
